power,g2,+-
0.6065795336,1.484805,0.031816474
0.5814900881,1.535070,0.0325447478
0.5498999686,1.560594,0.0300829523
0.5229073262,1.549138,0.0334813148
0.4942767137,1.507713,0.05058305
0.4615093328,1.519490,0.0375874653
0.4329514657,1.537961,0.0578071168
0.4052220274,1.629173,0.0455990409
0.3754698503,1.507644,0.0450560879
0.3426604099,1.602107,0.0562624762
0.3133265099,1.621711,0.0618312585
0.282550779,1.496834,0.0628924086
0.2514689511,1.465629,0.0919385179
0.2227833597,1.765960,0.1235591403
0.1915985446,1.641941,0.1193016896
0.1591280527,1.590345,0.1089364378
0.1277573055,1.440842,0.1654611274
0.0965373067,1.456868,0.2635606497
0.064964213,1.304065,0.3103422987
