power,g2,+-
0.03971500263171887,1.0192573140760193,0.2835276702213178
0.07942451941553876,1.7149412606945438,0.4192756256134356
0.11911174733454717,1.7402742122041357,0.41391487144134914
0.15883806789304133,1.2908519391670135,0.22874485035033268
0.19858872872561023,1.3434999018373734,0.11000732026426722
0.2382070417196905,1.6899809431131654,0.13376402501642745
0.2779422671301769,1.537212686996111,0.08804453219782105
0.31765419542543033,1.5703808149093523,0.09131726878736451
0.357235488176901,1.648648396750874,0.06820388829051333
0.3971500263171889,1.5995288951292461,0.06896459731842833
0.4364701980533701,1.561579968912941,0.04673611339912841
0.47638117981322525,1.6250590669244307,0.052000283255906506
0.5163623821327301,1.6768520417946922,0.039791691358283164
0.555846141992919,1.5939628925571598,0.057877662833937325
0.5955998718872569,1.618400209788853,0.038227931040838284
0.635264513160187,1.6023468862294774,0.047506715599184055
0.6744575112681809,1.6367476006970236,0.03332543635941402
0.7144216312846235,1.6282431441267378,0.0265992572812872
0.7550132889025746,1.6035655027905809,0.03702203492559529
0.7942451941553869,1.6383199687562269,0.03578258124871442
